date,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST,foreAdjustFactor,factor,adjustFactor,vwap,code
2005-04-08,984.665,1003.699,979.529,1003.445,984.733,1476252600.0,9151349808.0,0.014011,1.0,1.900214,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.19904060321384,SH000300
2005-04-11,1003.879,1008.735,992.773,995.421,1003.445,1593606600.0,10436232248.0,0.015125,1.0,-0.799644,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.548813394723641,SH000300
2005-04-12,993.711,993.711,978.204,978.697,995.421,1022619300.0,6479563495.0,0.009705,1.0,-1.680093,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.336242133313932,SH000300
2005-04-13,987.95,1006.499,987.95,1000.9,978.697,1607168700.0,10029602129.0,0.015239,1.0,2.268629,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.240540976812204,SH000300
2005-04-14,1004.64,1006.416,985.578,986.975,1000.9,1294571000.0,7813424514.0,0.012275,1.0,-1.391253,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.03553185881655,SH000300
2005-04-15,982.613,982.613,971.93,974.082,986.975,1040895500.0,6541675456.0,0.00987,1.0,-1.306315,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.284661098064118,SH000300
2005-04-18,970.907,970.907,958.649,963.772,974.082,859840000.0,5329138712.0,0.008128,1.0,-1.058432,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.1978260048381095,SH000300
2005-04-19,962.916,968.867,957.91,965.886,963.772,921262300.0,5768907755.0,0.008709,1.0,0.219348,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.261960089976546,SH000300
2005-04-20,964.151,964.151,946.197,950.867,965.886,885070500.0,5300003714.0,0.008366,1.0,-1.554944,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.988227733270965,SH000300
2005-04-21,948.861,955.553,938.595,943.981,950.867,994614500.0,6140646108.0,0.009255,1.0,-0.72418,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.173895622877004,SH000300
2005-04-22,942.908,947.909,934.957,939.101,943.981,1069188400.0,6373550345.0,0.009948,1.0,-0.51696,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.961110637751027,SH000300
2005-04-25,935.993,935.993,920.162,930.07,939.101,1147047800.0,6667303132.0,0.010643,1.0,-0.961665,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.812576539530436,SH000300
2005-04-26,928.428,939.696,924.655,937.083,930.07,1169047100.0,7029373085.0,0.010847,1.0,0.754029,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.012908363572349,SH000300
2005-04-27,938.57,938.91,925.896,926.604,937.083,1078061100.0,6432845906.0,0.009991,1.0,-1.118258,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.9670513164791865,SH000300
2005-04-28,923.529,945.504,914.829,942.073,926.604,1434348600.0,8315813742.0,0.013293,1.0,1.669429,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.797623912345995,SH000300
2005-04-29,940.806,942.453,929.81,932.395,942.073,1123541900.0,6853192443.0,0.010378,1.0,-1.027307,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0996322816265245,SH000300
2005-05-09,934.65,937.39,909.174,909.174,932.395,852911500.0,4889696446.0,0.007868,1.0,-2.490469,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.732947024398194,SH000300
2005-05-10,905.543,913.388,892.313,913.076,909.174,1049433100.0,5960910722.0,0.00968,1.0,0.429178,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.680124556772604,SH000300
2005-05-11,911.838,917.223,900.438,901.851,913.076,904204700.0,5128333208.0,0.008321,1.0,-1.229358,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.6716506870623435,SH000300
2005-05-12,899.968,900.063,883.511,885.82,901.851,1022872000.0,6107327165.0,0.009411,1.0,-1.777567,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.970763854128376,SH000300
2005-05-13,883.505,898.505,875.576,887.543,885.82,1124490600.0,6228419643.0,0.010346,1.0,0.194512,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.538881021326457,SH000300
2005-05-16,885.389,885.389,869.334,875.271,887.543,822428800.0,4630088469.0,0.007562,1.0,-1.382697,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.62977423577579,SH000300
2005-05-17,873.077,888.281,868.212,881.462,875.271,877227300.0,4635198616.0,0.008066,1.0,0.707321,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.283919704733312,SH000300
2005-05-18,881.141,890.403,871.821,883.196,881.462,787861000.0,4615409280.0,0.007217,1.0,0.19672,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.858151729810207,SH000300
2005-05-19,882.842,888.016,871.289,884.171,883.196,814958300.0,4263472583.0,0.007456,1.0,0.110399,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.2315223772799175,SH000300
2005-05-20,883.513,891.02,879.18,882.763,884.171,722667600.0,3835476288.0,0.006604,1.0,-0.159247,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.307386532895622,SH000300
2005-05-23,880.281,880.281,862.098,863.341,882.763,727979500.0,3725791093.0,0.006653,1.0,-2.200137,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.1179890271635395,SH000300
2005-05-24,861.195,871.767,855.587,868.456,863.341,920692900.0,4777971875.0,0.008414,1.0,0.592465,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.189539177504247,SH000300
2005-05-25,867.658,876.305,861.659,868.451,868.456,723855600.0,3742173189.0,0.006615,1.0,-0.000576,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.169778598107136,SH000300
2005-05-26,867.758,872.835,854.956,857.331,868.451,662278600.0,3470051082.0,0.006052,1.0,-1.28044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.239563956920849,SH000300
2005-05-27,855.595,864.963,848.398,849.508,857.331,774998300.0,4240678764.0,0.007069,1.0,-0.912483,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.471855569231571,SH000300
2005-05-30,847.634,858.462,842.102,855.612,849.508,697158300.0,3712116331.0,0.006354,1.0,0.718534,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.324639082687533,SH000300
2005-05-31,856.561,863.198,853.291,855.946,855.612,704782100.0,3601006687.0,0.006424,1.0,0.039035,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.109390103693042,SH000300
2005-06-01,855.206,857.657,836.04,837.532,855.946,790230200.0,4274074912.0,0.007203,1.0,-2.151304,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.408645369412609,SH000300
2005-06-02,835.467,835.493,812.989,818.379,837.532,950865700.0,5220786229.0,0.008667,1.0,-2.286833,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.490561105527311,SH000300
2005-06-03,816.546,823.86,807.965,818.033,818.379,793605600.0,4164754479.0,0.007233,1.0,-0.04228,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.247889479358513,SH000300
2005-06-06,816.731,839.15,807.784,838.997,818.033,900918500.0,4685006534.0,0.008212,1.0,2.562732,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.20025566574557,SH000300
